2, 6134, Note_off_c, 0, 50, 64
2, 6134, Note_off_c, 0, 57, 64
2, 6145, Note_off_c, 0, 60, 64
2, 6257, Note_on_c, 0, 50, 49
2, 6261, Note_on_c, 0, 70, 76
2, 6267, Note_on_c, 0, 66, 69
2, 6272, Note_off_c, 0, 62, 64
2, 6273, Note_on_c, 0, 57, 35
2, 6280, Note_on_c, 0, 62, 31
2, 6327, Note_off_c, 0, 50, 64
2, 6337, Note_off_c, 0, 66, 64
2, 6343, Note_off_c, 0, 57, 64
2, 6350, Note_off_c, 0, 62, 64
2, 6352, Note_off_c, 0, 38, 64
2, 6413, Note_on_c, 0, 69, 68
2, 6435, Note_off_c, 0, 70, 64
2, 6467, Note_on_c, 0, 43, 58
2, 6473, Note_on_c, 0, 67, 72
2, 6484, Note_off_c, 0, 69, 64
2, 6499, Control_c, 0, 64, 0
2, 6499, Control_c, 0, 64, 0
2, 6523, Control_c, 0, 64, 127
2, 6523, Control_c, 0, 64, 127
2, 6660, Note_on_c, 0, 58, 38
2, 6669, Note_on_c, 0, 62, 43
2, 6669, Note_on_c, 0, 55, 35
2, 6728, Note_off_c, 0, 58, 64
2, 6744, Note_off_c, 0, 55, 64
2, 6748, Note_off_c, 0, 62, 64
2, 6849, Note_on_c, 0, 69, 73
2, 6849, Note_on_c, 0, 58, 49
2, 6849, Note_on_c, 0, 55, 35
2, 6856, Note_on_c, 0, 62, 49
2, 6863, Note_off_c, 0, 67, 64
2, 6954, Note_on_c, 0, 70, 72
2, 6965, Note_off_c, 0, 55, 64
2, 6978, Note_off_c, 0, 69, 64
2, 6983, Note_off_c, 0, 58, 64
2, 6985, Note_off_c, 0, 62, 64
2, 7012, Note_off_c, 0, 43, 64
2, 7014, Note_on_c, 0, 72, 69
2, 7017, Note_off_c, 0, 70, 64
2, 7134, Note_on_c, 0, 74, 54
2, 7141, Note_off_c, 0, 72, 64
2, 7174, Note_on_c, 0, 63, 42
2, 7174, Note_on_c, 0, 60, 47
2, 7181, Note_on_c, 0, 67, 43
2, 7184, Note_on_c, 0, 55, 43
2, 7187, Note_on_c, 0, 75, 60
2, 7203, Control_c, 0, 64, 0
2, 7203, Control_c, 0, 64, 0
2, 7213, Note_off_c, 0, 74, 64
2, 7220, Control_c, 0, 64, 127
2, 7220, Control_c, 0, 64, 127
2, 7242, Note_off_c, 0, 55, 64
2, 7246, Note_off_c, 0, 63, 64
2, 7248, Note_off_c, 0, 60, 64
2, 7249, Note_off_c, 0, 67, 64
2, 7366, Note_on_c, 0, 78, 76
2, 7373, Note_off_c, 0, 75, 64
2, 7376, Note_on_c, 0, 63, 43
2, 7380, Note_on_c, 0, 55, 38
2, 7381, Note_on_c, 0, 69, 39
2, 7386, Note_on_c, 0, 60, 41
2, 7406, Control_c, 0, 64, 0
2, 7406, Control_c, 0, 64, 0
2, 7426, Control_c, 0, 64, 127
2, 7426, Control_c, 0, 64, 127
2, 7589, Note_on_c, 0, 70, 43
2, 7590, Note_on_c, 0, 79, 67
2, 7619, Note_off_c, 0, 60, 64
2, 7620, Note_off_c, 0, 55, 64
2, 7623, Note_off_c, 0, 78, 64
2, 7628, Control_c, 0, 64, 0
2, 7628, Control_c, 0, 64, 0
2, 7635, Note_off_c, 0, 63, 64
2, 7639, Note_off_c, 0, 69, 64
2, 7645, Control_c, 0, 64, 127
2, 7645, Control_c, 0, 64, 127
2, 7680, Note_on_c, 0, 74, 68
2, 7714, Note_off_c, 0, 79, 64
2, 7800, Note_on_c, 0, 62, 35
2, 7809, Note_on_c, 0, 55, 35
2, 7824, Control_c, 0, 64, 0
2, 7824, Control_c, 0, 64, 0
2, 7848, Control_c, 0, 64, 127
2, 7848, Control_c, 0, 64, 127
2, 7875, Note_off_c, 0, 62, 64
2, 7880, Note_off_c, 0, 55, 64
2, 8038, Note_on_c, 0, 55, 35
2, 8042, Note_on_c, 0, 62, 38
2, 8086, Note_off_c, 0, 62, 64
2, 8088, Note_off_c, 0, 74, 64
2, 8095, Note_off_c, 0, 55, 64
2, 8153, Note_off_c, 0, 70, 64
2, 8300, Note_on_c, 0, 69, 67
2, 8300, Note_on_c, 0, 38, 47
2, 8467, Note_on_c, 0, 66, 54
2, 8516, Note_on_c, 0, 57, 41
2, 8520, Note_on_c, 0, 62, 61
2, 8520, Note_on_c, 0, 60, 36
2, 8523, Note_off_c, 0, 69, 64
2, 8526, Note_on_c, 0, 50, 43
2, 8549, Note_off_c, 0, 66, 64
2, 8549, Control_c, 0, 64, 0
2, 8549, Control_c, 0, 64, 0
2, 8564, Control_c, 0, 64, 127
2, 8564, Control_c, 0, 64, 127
2, 8575, Note_off_c, 0, 57, 64
2, 8579, Note_off_c, 0, 60, 64
2, 8585, Note_off_c, 0, 50, 64
2, 8644, Note_off_c, 0, 62, 64
2, 8696, Note_on_c, 0, 60, 32
2, 8698, Note_on_c, 0, 66, 63
2, 8698, Note_on_c, 0, 50, 47
2, 8702, Note_on_c, 0, 57, 32
2, 8709, Note_on_c, 0, 62, 30
2, 8755, Note_off_c, 0, 60, 64
2, 8757, Note_off_c, 0, 50, 64
2, 8761, Note_off_c, 0, 57, 64
2, 8768, Note_off_c, 0, 62, 64
2, 8871, Note_off_c, 0, 38, 64
2, 8895, Note_on_c, 0, 43, 50
2, 8904, Note_on_c, 0, 67, 65
2, 8919, Note_off_c, 0, 66, 64
2, 8929, Control_c, 0, 64, 0
2, 8929, Control_c, 0, 64, 0
2, 8954, Control_c, 0, 64, 127
2, 8954, Control_c, 0, 64, 127
2, 9111, Note_on_c, 0, 58, 39
2, 9114, Note_on_c, 0, 62, 31
2, 9117, Note_on_c, 0, 55, 36
2, 9171, Note_off_c, 0, 58, 64
2, 9184, Note_off_c, 0, 55, 64
2, 9184, Note_off_c, 0, 62, 64
2, 9284, Note_on_c, 0, 74, 53
2, 9284, Note_on_c, 0, 55, 31
2, 9288, Note_on_c, 0, 58, 31
2, 9297, Note_on_c, 0, 62, 28
2, 9396, Note_on_c, 0, 73, 52
2, 9409, Note_off_c, 0, 74, 64
2, 9425, Note_off_c, 0, 58, 64
2, 9426, Note_off_c, 0, 55, 64
2, 9436, Note_off_c, 0, 62, 64
2, 9439, Note_off_c, 0, 67, 64
2, 9444, Note_off_c, 0, 43, 64
2, 9444, Note_on_c, 0, 70, 68
2, 9474, Note_off_c, 0, 73, 64
2, 9562, Note_on_c, 0, 69, 54
2, 9583, Note_off_c, 0, 70, 64
2, 9608, Note_on_c, 0, 58, 45
2, 9609, Note_on_c, 0, 64, 49
2, 9615, Note_on_c, 0, 55, 52
2, 9615, Note_on_c, 0, 50, 41
2, 9619, Note_on_c, 0, 67, 57
2, 9629, Note_off_c, 0, 69, 64
2, 9642, Control_c, 0, 64, 0
2, 9642, Control_c, 0, 64, 0
2, 9655, Control_c, 0, 64, 127
2, 9655, Control_c, 0, 64, 127
2, 9677, Note_off_c, 0, 55, 64
2, 9677, Note_off_c, 0, 64, 64
2, 9687, Note_off_c, 0, 58, 64
2, 9693, Note_off_c, 0, 50, 64
2, 9811, Note_on_c, 0, 50, 26
2, 9814, Note_on_c, 0, 66, 57
2, 9818, Note_on_c, 0, 61, 34
2, 9824, Note_on_c, 0, 57, 35
2, 9838, Control_c, 0, 64, 0
2, 9838, Control_c, 0, 64, 0
2, 9842, Note_off_c, 0, 67, 64
2, 9874, Control_c, 0, 64, 127
2, 9874, Control_c, 0, 64, 127
2, 9918, Note_off_c, 0, 66, 64
2, 10008, Note_on_c, 0, 66, 38
2, 10032, Note_off_c, 0, 61, 64
2, 10038, Note_off_c, 0, 57, 64
2, 10044, Note_off_c, 0, 50, 64
2, 10072, Note_on_c, 0, 62, 47
2, 10113, Note_off_c, 0, 66, 64
2, 10296, Note_on_c, 0, 57, 32
2, 10296, Note_on_c, 0, 50, 32
2, 10320, Control_c, 0, 64, 0
2, 10320, Control_c, 0, 64, 0
2, 10346, Control_c, 0, 64, 127
2, 10346, Control_c, 0, 64, 127
2, 10456, Control_c, 0, 64, 0
2, 10456, Control_c, 0, 64, 0
2, 10482, Control_c, 0, 64, 127
2, 10482, Control_c, 0, 64, 127
2, 10488, Note_off_c, 0, 50, 64
2, 10491, Note_off_c, 0, 57, 64
2, 10568, Note_on_c, 0, 57, 21
2, 10576, Note_on_c, 0, 50, 21
2, 10743, Note_off_c, 0, 57, 64
2, 10746, Note_off_c, 0, 62, 64
2, 10757, Note_off_c, 0, 50, 64
2, 10827, Note_on_c, 0, 41, 60
2, 10830, Note_on_c, 0, 65, 73
2, 11074, Note_on_c, 0, 67, 56
2, 11076, Note_on_c, 0, 58, 30
2, 11078, Note_on_c, 0, 53, 43
2, 11084, Note_on_c, 0, 63, 39
2, 11100, Control_c, 0, 64, 0
2, 11100, Control_c, 0, 64, 0
2, 11110, Note_off_c, 0, 65, 64
2, 11114, Control_c, 0, 64, 127
2, 11114, Control_c, 0, 64, 127
2, 11136, Note_off_c, 0, 53, 64
2, 11136, Note_on_c, 0, 69, 52
2, 11140, Note_off_c, 0, 67, 64
2, 11156, Note_off_c, 0, 58, 64
2, 11173, Note_off_c, 0, 63, 64
2, 11190, Note_on_c, 0, 67, 54
2, 11215, Note_off_c, 0, 69, 64
2, 11244, Note_on_c, 0, 65, 65
2, 11252, Note_on_c, 0, 63, 49
2, 11252, Note_on_c, 0, 53, 52
2, 11258, Note_on_c, 0, 57, 54
2, 11258, Control_c, 0, 64, 0
2, 11258, Control_c, 0, 64, 0
2, 11265, Note_off_c, 0, 67, 64
2, 11282, Control_c, 0, 64, 127
2, 11282, Control_c, 0, 64, 127
2, 11311, Note_off_c, 0, 53, 64
2, 11316, Note_off_c, 0, 57, 64
2, 11324, Note_off_c, 0, 63, 64
2, 11424, Note_on_c, 0, 53, 41
2, 11428, Note_on_c, 0, 58, 56
2, 11429, Note_on_c, 0, 67, 58
2, 11429, Note_on_c, 0, 63, 54
2, 11468, Note_off_c, 0, 65, 64
2, 11483, Note_off_c, 0, 53, 64
2, 11488, Note_on_c, 0, 69, 54
2, 11493, Note_off_c, 0, 58, 64
2, 11498, Note_off_c, 0, 63, 64
2, 11498, Note_off_c, 0, 67, 64
2, 11542, Note_on_c, 0, 67, 54
2, 11565, Note_off_c, 0, 69, 64
2, 11589, Control_c, 0, 64, 0
2, 11589, Control_c, 0, 64, 0
2, 11596, Note_on_c, 0, 63, 52
2, 11596, Note_on_c, 0, 57, 53
2, 11596, Note_on_c, 0, 53, 54
2, 11602, Note_off_c, 0, 67, 64
2, 11605, Note_on_c, 0, 65, 54
2, 11612, Note_off_c, 0, 41, 64
2, 11612, Control_c, 0, 64, 127
2, 11612, Control_c, 0, 64, 127
2, 11700, Note_off_c, 0, 57, 64
2, 11720, Note_off_c, 0, 63, 64
2, 11739, Note_off_c, 0, 53, 64
2, 11762, Note_off_c, 0, 65, 64
2, 11778, Note_on_c, 0, 79, 65
2, 11969, Note_off_c, 0, 79, 64
2, 11972, Note_on_c, 0, 41, 46
2, 11974, Note_on_c, 0, 77, 60
2, 11991, Control_c, 0, 64, 0
2, 11991, Control_c, 0, 64, 0
2, 12005, Control_c, 0, 64, 127
2, 12005, Control_c, 0, 64, 127
2, 12027, Note_on_c, 0, 79, 54
2, 12041, Note_off_c, 0, 77, 64
2, 12096, Note_on_c, 0, 77, 42
2, 12106, Note_off_c, 0, 79, 64
2, 12148, Note_on_c, 0, 76, 65
2, 12165, Note_off_c, 0, 77, 64
2, 12169, Note_on_c, 0, 69, 38
2, 12172, Note_on_c, 0, 60, 27
2, 12180, Note_on_c, 0, 63, 31
2, 12228, Note_off_c, 0, 69, 64
2, 12231, Note_off_c, 0, 60, 64
2, 12239, Note_off_c, 0, 63, 64
2, 12329, Note_on_c, 0, 69, 34
2, 12332, Note_on_c, 0, 60, 54
2, 12336, Note_on_c, 0, 63, 41
2, 12388, Note_off_c, 0, 69, 64
2, 12391, Note_off_c, 0, 60, 64
2, 12395, Note_off_c, 0, 63, 64
2, 12421, Note_on_c, 0, 75, 43
2, 12432, Note_off_c, 0, 76, 64
2, 12469, Note_off_c, 0, 75, 64
2, 12498, Note_off_c, 0, 41, 64
2, 12524, Note_on_c, 0, 46, 61
2, 12529, Note_on_c, 0, 75, 56
