0, Program_c, 0
6221, Control_c, 64, 0
6221, Control_c, 64, 0
6227, Note_off_c, 42, 64
6228, Note_on_c, 69, 65
6232, Note_on_c, 61, 55
6259, Note_off_c, 66, 64
6273, Note_off_c, 54, 64
6276, Note_off_c, 61, 64
6376, Control_c, 64, 127
6376, Control_c, 64, 127
6427, Note_off_c, 69, 64
6444, Note_on_c, 54, 61
6448, Note_on_c, 66, 72
6451, Note_on_c, 69, 70
6451, Note_on_c, 61, 55
6472, Control_c, 64, 127
6472, Control_c, 64, 127
6480, Note_off_c, 54, 64
6486, Note_off_c, 61, 64
6660, Note_on_c, 40, 65
6670, Control_c, 64, 0
6670, Control_c, 64, 0
6702, Control_c, 64, 127
6702, Control_c, 64, 127
6780, Note_on_c, 71, 48
6803, Note_off_c, 69, 64
6809, Note_off_c, 66, 64
6820, Note_on_c, 69, 57
6833, Note_off_c, 71, 64
6856, Note_on_c, 68, 66
6859, Note_on_c, 52, 52
6864, Note_on_c, 59, 50
6869, Note_on_c, 64, 28
6871, Note_off_c, 40, 64
6875, Note_off_c, 69, 64
6879, Control_c, 64, 0
6879, Control_c, 64, 0
6911, Note_off_c, 59, 64
6911, Control_c, 64, 127
6911, Control_c, 64, 127
6917, Note_off_c, 52, 64
6950, Note_off_c, 64, 64
6963, Note_on_c, 69, 61
6984, Note_off_c, 68, 64
7050, Control_c, 64, 0
7050, Control_c, 64, 0
7057, Note_on_c, 71, 66
7057, Note_on_c, 62, 57
7057, Note_on_c, 52, 58
7069, Note_off_c, 69, 64
7098, Control_c, 64, 127
7098, Control_c, 64, 127
7109, Note_off_c, 52, 64
7203, Note_on_c, 66, 49
7218, Note_off_c, 71, 64
7241, Note_on_c, 45, 58
7242, Note_on_c, 64, 66
7252, Control_c, 64, 0
7252, Control_c, 64, 0
7275, Note_off_c, 66, 64
7288, Control_c, 64, 127
7288, Control_c, 64, 127
7388, Note_on_c, 69, 54
7415, Control_c, 64, 0
7415, Control_c, 64, 0
7419, Note_off_c, 64, 64
7424, Note_off_c, 62, 64
7424, Note_on_c, 61, 53
7424, Note_on_c, 57, 58
7428, Note_on_c, 73, 79
7451, Note_off_c, 45, 64
7453, Note_off_c, 69, 64
7468, Note_off_c, 57, 64
7468, Note_off_c, 61, 64
7627, Note_off_c, 73, 64
7657, Note_on_c, 73, 66
7659, Note_on_c, 57, 58
7665, Note_on_c, 64, 57
7681, Control_c, 64, 127
7681, Control_c, 64, 127
7798, Note_off_c, 64, 64
7885, Note_on_c, 76, 61
7893, Note_on_c, 65, 52
7893, Note_on_c, 50, 46
7898, Note_off_c, 73, 64
7914, Control_c, 64, 0
7914, Control_c, 64, 0
7955, Control_c, 64, 127
7955, Control_c, 64, 127
7983, Note_off_c, 50, 64
7989, Note_off_c, 57, 64
8028, Note_off_c, 76, 64
8038, Note_off_c, 65, 64
8042, Note_on_c, 74, 52
8067, Note_on_c, 73, 55
8097, Note_off_c, 74, 64
8112, Note_on_c, 71, 53
8116, Note_on_c, 50, 46
8121, Note_on_c, 65, 29
8121, Note_on_c, 57, 40
8129, Control_c, 64, 0
8129, Control_c, 64, 0
8141, Note_off_c, 73, 64
8171, Control_c, 64, 127
8171, Control_c, 64, 127
8184, Note_off_c, 57, 64
8185, Note_off_c, 50, 64
8217, Note_off_c, 65, 64
8337, Note_on_c, 73, 55
8341, Note_on_c, 64, 49
8345, Note_on_c, 45, 46
8348, Control_c, 64, 0
8348, Control_c, 64, 0
8356, Note_off_c, 71, 64
8358, Note_on_c, 57, 29
8407, Control_c, 64, 127
8407, Control_c, 64, 127
8461, Note_off_c, 64, 64
8482, Note_off_c, 45, 64
8559, Note_on_c, 76, 58
8559, Note_on_c, 65, 57
8566, Note_on_c, 50, 52
8574, Note_off_c, 73, 64
8584, Control_c, 64, 0
8584, Control_c, 64, 0
8620, Control_c, 64, 127
8620, Control_c, 64, 127
8621, Note_off_c, 57, 64
8636, Note_off_c, 50, 64
8700, Note_off_c, 76, 64
8705, Note_on_c, 74, 50
8711, Note_off_c, 65, 64
8738, Note_on_c, 73, 70
8762, Note_off_c, 74, 64
8786, Note_on_c, 57, 49
8786, Note_on_c, 50, 28
8787, Note_on_c, 71, 55
8793, Note_on_c, 65, 50
8799, Control_c, 64, 0
8799, Control_c, 64, 0
8809, Note_off_c, 73, 64
8845, Control_c, 64, 127
8845, Control_c, 64, 127
8878, Note_off_c, 50, 64
8900, Note_off_c, 65, 64
8940, Note_off_c, 57, 64
9003, Note_on_c, 73, 58
9016, Note_on_c, 64, 52
9016, Note_on_c, 45, 53
9022, Note_off_c, 71, 64
9024, Note_on_c, 57, 57
9034, Control_c, 64, 0
9034, Control_c, 64, 0
9066, Control_c, 64, 127
9066, Control_c, 64, 127
9109, Note_off_c, 64, 64
9163, Note_off_c, 45, 64
9261, Note_on_c, 76, 59
9261, Note_on_c, 66, 58
9268, Note_on_c, 50, 52
9281, Control_c, 64, 0
9281, Control_c, 64, 0
9285, Note_off_c, 73, 64
9328, Control_c, 64, 127
9328, Control_c, 64, 127
9333, Note_off_c, 50, 64
9408, Note_on_c, 74, 57
9430, Note_off_c, 76, 64
9456, Note_on_c, 73, 58
9461, Note_off_c, 57, 64
9464, Note_off_c, 74, 64
9500, Note_on_c, 56, 46
9504, Note_on_c, 71, 62
9517, Control_c, 64, 0
9517, Control_c, 64, 0
9529, Note_off_c, 73, 64
9564, Control_c, 64, 127
9564, Control_c, 64, 127
9678, Note_off_c, 66, 64
9760, Note_on_c, 73, 62
9763, Note_on_c, 49, 46
9767, Note_on_c, 61, 44
9769, Note_off_c, 56, 64
9772, Note_on_c, 65, 50
9778, Control_c, 64, 0
9778, Control_c, 64, 0
9786, Note_off_c, 71, 64
9812, Control_c, 64, 127
9812, Control_c, 64, 127
